GeneID	CommonName	OligosNum	OligosIDs	OligosSites	P-values	log2(MeanRatios)	Description
At3g22380		7	35645626,35645627,35645628,35645629,35645630,35645631,35645632,	7909801,7910216,7910656,7911235,7912163,7912573,7912987,	0.0002,7e-05,0.0031,0.0036,0.0014,0.00059,0.00028,	1.6,1.8,0.99,0.8,0.88,1.5,1.5,	expressed protein 
At4g05020		7	35550345,35673235,35550346,35673236,35673237,35550350,35673238,	2569191,2569269,2569945,2571645,2572032,2572535,2572711,	2.8e-06,6.7e-06,0.00099,0.0023,0.006,0.00042,0.00015,	2.6,2.7,1,0.77,0.67,1.4,1.1,	NADH dehydrogenase-related similar to alternative NADH-dehydrogenase [Yarrowia lipolytica] GI:3718005, 64 kDa mitochondrial NADH dehydrogenase [Neurospora crassa] GI:4753821; contains Pfam profile PF00070: Pyridine nucleotide-disulphide oxidoreductase
At5g18270	ANAC087	7	35706156,35706158,35706160,35706161,35706162,35706164,35706165,	6043073,6044557,6046210,6046965,6047423,6050098,6050770,	0.005,0.0056,8.6e-05,0.0011,0.0076,0.0026,0.0059,	0.7,0.72,2.4,1,1.2,0.96,0.66,	no apical meristem (NAM) family protein contains Pfam PF02365 : No apical meristem (NAM) protein; similar to cup-shaped cotyledon CUC2 (GI:1944132) [Arabidopsis thaliana]
At5g67410		7	35737125,35737129,35737130,35737131,35737132,35737133,35737134,	26915978,26919104,26919508,26919925,26920382,26920773,26921156,	0.0098,0.00036,0.001,9.6e-05,0.0009,0.00017,0.00035,	0.61,1.1,1.1,1.7,0.95,1.2,1.1,	hypothetical protein 
At1g02400		6	35556641,35556645,35556646,35556648,35556649,35556650,	483439,485654,486289,488373,488757,489191,	0.0015,0.003,0.00075,0.00037,1.5e-05,0.0015,	0.89,1.2,0.97,1.1,1.9,1,	gibberellin 2-oxidase, putative / GA2-oxidase, putative similar to GA2ox2 [GI:4678368]; similar to dioxygenase GI:1666096 from [Marah macrocarpus]; contains PF03171 2OG-Fe(II) oxygenase superfamily domain
At1g12370		6	35562814,35562815,35562816,35562817,35562818,35562819,	4208503,4208894,4209830,4210653,4211538,4211938,	0.0002,1.9e-05,8.1e-06,0.00094,7.4e-05,5.8e-05,	1.2,1.9,2.6,0.88,1.5,1.9,	type II CPD photolyase PHR1 (PHR1) nearly identical to type II CPD photolyase PHR1 [Arabidopsis thaliana] GI:2984707; similar to class II DNA photolyase (GI:5081541) [Chlamydomonas reinhardtii]; supporting cDNA gi|2984706|gb|AF053365.1|AF053365
At1g64390		6	35591923,35591927,35591933,35591935,35591936,35591937,	23906505,23909639,23914755,23916002,23916398,23916847,	0.00017,0.0032,0.00081,0.00034,0.00012,0.0026,	1.2,0.93,0.96,1.1,1.4,0.9,	endo-1,4-beta-glucanase, putative / cellulase, putative similar to endo-beta-1,4-glucanase GI:4972236 from [Fragaria x ananassa] (Plant Mol. Biol. 40, 323-332 (1999))
At1g71040		6	35596448,35596449,35596450,35596451,35596452,35596455,	26800986,26801403,26801821,26802214,26802913,26805467,	0.0032,0.00028,0.00016,0.00017,0.0021,0.00025,	0.87,1.2,1.3,1.5,0.96,1.3,	multi-copper oxidase type I family protein similar to SP|P07788 Spore coat protein A {Bacillus subtilis}; contains Pfam profile PF00394: Multicopper oxidase
At1g77750		6	35600407,35600409,35600411,35600412,35600413,35600414,	29236541,29237429,29238661,29239133,29239528,29240244,	0.006,0.0041,0.0022,0.0013,1.8e-05,0.0064,	0.76,0.7,0.94,1.1,2,0.91,	30S ribosomal protein S13, chloroplast, putative similar to putative 30S ribosomal protein S13, chloroplast precursor GB:P42732 [Arabidopsis thaliana]
At2g40100		6	35627797,35627798,35627799,35627800,35627801,35627802,	16751601,16751990,16752510,16752914,16753374,16753924,	0.0049,0.007,0.00015,0.00015,0.003,0.0021,	0.81,0.76,1.4,1.6,0.81,0.78,	chlorophyll A-B binding protein (LHCB4.3) identical to Lhcb4:3 protein [Arabidopsis thaliana] GI:4741956; contains Pfam profile: PF00504 chlorophyll A-B binding protein
At2g41170		6	35628479,35628480,35628481,35628483,35628485,35628486,	17166394,17166849,17167299,17168266,17169291,17169805,	0.0045,0.00012,0.004,0.0039,3.3e-05,0.00038,	0.83,1.4,0.73,0.8,1.4,1.1,	F-box family protein contains Pfam PF00646: F-box domain; similar to SKP1 interacting partner 2 (SKIP2) TIGR_Ath1:At5g67250
At2g42620		6	35629458,35629459,35629460,35629462,35629465,35629466,	17758518,17758912,17759430,17760624,17762643,17763206,	0.0083,1.7e-05,0.00015,0.0023,0.0024,3.7e-05,	0.73,1.8,2.1,0.76,0.84,1.6,	F-box family protein (ORE9) E3 ubiquitin ligase SCF complex F-box subunit; identical to F-box containing protein ORE9 GI:15420162 from [Arabidopsis thaliana]
At2g43060		6	35629705,35629707,35629708,35629709,35629713,35629714,	17912523,17913357,17913854,17914289,17916309,17916701,	0.0003,0.0061,0.0025,0.0024,0.0021,0.00095,	1.3,0.64,0.84,1.1,0.78,0.89,	expressed protein similar to cDNA bHLH transcription factor (bHLH zeta gene) GI:32563005
At3g02140		6	35633299,35633301,35633302,35633303,35633304,35633305,	385592,386389,386865,387254,388054,388836,	0.0033,0.0028,3.3e-05,5.9e-05,0.00013,0.00013,	0.75,0.86,1.5,2,1.3,1.2,	expressed protein 
At3g11410		6	35638614,35638615,35638616,35638617,35638618,35638619,	3584616,3585083,3585492,3586444,3587569,3588459,	0.0013,0.0078,0.00062,1.3e-05,7.6e-05,0.00031,	0.89,0.73,1.1,2,1.3,1.2,	protein phosphatase 2C, putative / PP2C, putative identical to protein phosphatase 2C (PP2C) GB:P49598 [Arabidopsis thaliana]; contains Pfam profile PF00481: Protein phosphatase 2C; identical to cDNA protein phosphatase 2C GI:633027
At3g15095		6	35641060,35641061,35641062,35641063,35641064,35641067,	5079528,5080246,5080795,5081616,5082396,5083719,	0.00074,0.0013,0.00076,0.00058,7.5e-05,0.0032,	0.94,1,1.2,0.98,1.3,0.8,	expressed protein 
At4g29190		6	35689635,35689636,35689637,35689639,35689640,35689641,	14393027,14393504,14395097,14396593,14397517,14397950,	0.0083,1.8e-05,0.0089,0.0035,0.00075,0.00086,	0.83,2.3,0.61,0.71,1.1,1.3,	zinc finger (CCCH-type) family protein contains Pfam domain, PF00642: Zinc finger C-x8-C-x5-C-x3-H type (and similar)
At5g09440		6	35701144,35701145,35701148,35701149,35701151,35701152,	2933841,2934230,2935703,2936812,2937818,2938231,	0.002,0.0011,0.00032,0.0044,0.0093,0.0016,	0.94,0.93,1.2,0.71,0.73,1.5,	phosphate-responsive protein, putative similar to phi-1 (phosphate-induced gene) [Nicotiana tabacum] GI:3759184; contains Pfam profile PF04674: Phosphate-induced protein 1 conserved region
At5g19095		6	35706707,35706709,35706710,35706711,35706713,35706721,	6390281,6391360,6392018,6392613,6393690,6399982,	0.0079,0.00042,0.0032,0.00079,0.0063,0.0051,	0.66,1,1.2,1.1,0.71,0.75,	
At5g24670		6	35709891,35709892,35709893,35709894,35709895,35709896,	8447664,8448227,8449046,8449640,8450293,8450826,	0.0041,0.00018,1.9e-05,4.6e-06,3.3e-05,0.00045,	0.88,1.5,1.8,2.4,1.7,1.4,	cytidine/deoxycytidylate deaminase family protein similar to SP|Q9URQ3 tRNA-specific adenosine deaminase 3 (EC 3.5.4.-) (tRNA-specific adenosine-34 deaminase subunit TAD3) {Saccharomyces cerevisiae}; contains Pfam profile PF00383: Cytidine and deoxycytidylate deaminase zinc-binding region
At5g39050		6	35719790,35719791,35719793,35719794,35719795,35719796,	15648505,15649061,15650649,15651038,15651909,15652471,	0.00016,0.005,0.0085,0.00039,0.0084,0.0064,	1.2,0.75,0.66,1.3,0.95,0.74,	transferase family protein similar to anthocyanin 5-aromatic acyltransferase from Gentiana triflora GI:4185599, malonyl CoA:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase from Perilla frutescens GI:17980232, Salvia splendens GI:17980234; contains Pfam profile PF02458 transferase family
At5g40720		6	35720763,35720764,35720765,35720766,35720767,35720768,	16314352,16314965,16315483,16315922,16316319,16316931,	0.00045,0.0013,0.0069,1.1e-05,0.00026,0.0038,	0.99,0.83,0.75,2.2,1,0.89,	expressed protein contains Pfam profile PF01697: Domain of unknown function
At5g59220		6	35732384,35732385,35732386,35732387,35732388,35732389,	23913258,23913707,23914109,23914514,23915450,23915942,	0.00086,0.0003,1.2e-05,0.0016,8e-05,0.00013,	0.9,1.2,1.8,1.1,1.2,1.4,	protein phosphatase 2C, putative / PP2C, putative ABA induced protein phosphatase 2C, Fagus sylvatica, EMBL:FSY277743
At5g65380		6	35735876,35735877,35735878,35735881,35735882,35735884,	26141199,26141824,26142298,26144027,26144479,26146080,	0.0077,0.003,0.0023,0.00081,0.00033,0.00098,	0.67,0.89,0.79,1.2,1.1,0.86,	ripening-responsive protein, putative similar to ripening regulated protein DDTFR18 [Lycopersicon esculentum] GI:12231296; contains Pfam profile PF01554: Uncharacterized membrane protein family
At1g01120		5	35555915,35555916,35555919,35555920,35555921,	57881,58631,60186,60688,61276,	0.0038,0.0033,0.0021,0.0029,0.0097,	0.85,0.72,1,0.89,0.6,	fatty acid elongase 3-ketoacyl-CoA synthase 1 (KCS1) nearly identical to GB:AAC99312 GI:4091810 from [Arabidopsis thaliana]
At1g04250	AXR3;IAA17	5	35557708,35557709,35557710,35557712,35557713,	1133825,1134272,1134716,1136156,1136568,	0.00026,7.2e-06,0.00081,0.00057,0.00088,	1.1,2.4,1,1.5,0.91,	auxin-responsive protein / indoleacetic acid-induced protein 17 (IAA17) Identical to SP|P93830 Auxin-responsive protein IAA17 (Indoleacetic acid-induced protein 17) {Arabidopsis thaliana}; ESTs gb|H36782 and gb|F14074 come from this gene
At1g07870		5	35559883,35559886,35559887,35559888,35559889,	2430315,2431682,2432087,2432555,2433111,	0.0048,0.0056,1e-05,0.00016,0.00012,	0.85,0.79,2.4,1.6,1.2,	protein kinase family protein contains protein kinase domain, Pfam:PF00069
At1g08920		5	35560599,35560605,35560606,35560607,35560609,	2861689,2865683,2866859,2867435,2868429,	0.00047,0.00036,0.0009,0.0051,0.0071,	0.98,1.1,0.88,0.75,0.85,	sugar transporter, putative similar to ERD6 protein {Arabidopsis thaliana} GI:3123712, sugar-porter family proteins 1 and 2 [Arabidopsis thaliana] GI:14585699, GI:14585701; contains Pfam profile PF00083: major facilitator superfamily protein
At1g15690		5	35564725,35564726,35564727,35564728,35564729,	5396502,5397352,5397790,5398620,5399102,	0.00017,0.0069,0.0023,5.7e-06,0.003,	1.6,0.72,0.79,2.6,1.1,	pyrophosphate-energized vacuolar membrane proton pump / pyrophosphate-energized inorganic pyrophosphatase (AVP-3) identical to pyrophosphate-energized vacuolar membrane proton pump (pyrophosphate-energized inorganic pyrophosphatase) SP:P31414 from [Arabidopsis thaliana]
At1g22400		5	35568815,35568818,35568819,35568821,35568822,	7904878,7906728,7907167,7908250,7908899,	0.0044,0.00021,0.00016,0.00022,0.0019,	0.75,1.1,1.1,1.4,0.96,	UDP-glucoronosyl/UDP-glucosyl transferase family protein contains Pfam profile: PF00201 UDP-glucoronosyl and UDP-glucosyl transferase
At1g22710		5	35569016,35569017,35569019,35569020,35569021,	8036382,8037702,8039127,8039678,8040078,	0.0051,0.0026,0.0019,0.0012,0.00053,	0.96,0.81,0.83,0.95,1.1,	sucrose transporter / sucrose-proton symporter (SUC2) nearly identical to sucrose-proton symporter SUC2 [Arabidopsis thaliana] GI:407092
At1g26920		5	35571080,35571081,35571082,35571085,35571086,	9325871,9326485,9327126,9328746,9329176,	0.0066,0.0013,0.0068,0.0092,0.00055,	1,0.88,0.99,0.62,1.3,	expressed protein Location of EST 228A16T7A, gb|N65686
At1g28360	ATERF12;ERF12	5	35572071,35572072,35572073,35572074,35572075,	9949895,9950353,9950851,9951525,9952308,	0.00032,1.4e-05,0.00063,0.0073,0.0042,	1.4,2.2,0.96,0.71,0.81,	ERF domain protein 12 (ERF12) identical to ERF domain protein 12(AtERF12) GI:15207791 from [Arabidopsis thaliana]
At1g29060		5	35572384,35572385,35572386,35572387,35572388,	10145958,10146499,10146896,10147458,10147928,	0.0018,0.0088,0.0016,0.00022,0.002,	0.94,0.79,0.87,1.2,0.98,	expressed protein 
At1g44575		5	35580992,35580993,35580994,35580995,35580996,	16871939,16872420,16874033,16874520,16874994,	2.6e-05,2.4e-05,6.5e-06,1.9e-05,0.00044,	2.2,2,3,2.4,1.1,	photosystem II 22kDa protein, chloroplast / CP22 (PSBS) identical to photosystem II 22 kDa protein, chloroplast [precursor] SP:Q9XF91 from [Arabidopsis thaliana]; contains Pfam profile PF00504: Chlorophyll A-B binding protein
At1g61890		5	35590328,35590329,35590333,35590334,35590337,	22874511,22874950,22879610,22881128,22884402,	0.0058,0.00085,0.00095,0.00039,0.0055,	0.82,1,1.4,1.1,0.88,	MATE efflux family protein similar to ripening regulated protein DDTFR18 [Lycopersicon esculentum] GI:12231296; contains Pfam profile PF01554: Uncharacterized membrane protein family
At1g70230		5	35595898,35595899,35595900,35595901,35595902,	26452988,26453391,26453862,26454338,26455088,	0.0079,0.0011,0.0063,0.0013,0.00013,	0.81,1.1,0.73,0.93,1.3,	expressed protein 
At1g70300		5	35595948,35595949,35595950,35595951,35595952,	26486573,26486961,26487479,26488234,26488643,	0.00028,0.0034,0.0022,0.00013,1.7e-05,	1.1,1.4,0.86,1.6,1.9,	potassium transporter, putative similar to potassium transporter HAK2p [Mesembryanthemum crystallinum] gi|14091471|gb|AAK53759; KUP/HAK/KT Transporter family member, PMID:11500563; contains Pfam profile PF02705: K+ potassium transporter
At1g70740		5	35596261,35596262,35596265,35596267,35596268,	26679236,26680264,26682297,26683762,26684160,	0.0073,0.0012,0.0081,0.0029,0.00076,	0.69,0.92,0.67,0.72,0.9,	protein kinase family protein contains protein kinase domain, Pfam:PF00069
At1g71720		5	35596757,35596758,35596759,35596761,35596762,	26984503,26984968,26985571,26986946,26987391,	0.0043,0.00025,0.0064,0.0058,0.00061,	1,1.5,0.75,0.76,1.1,	S1 RNA-binding domain-containing protein contains Pfam domain, PF00575: S1 RNA binding domain
At1g72500		5	35597259,35597260,35597261,35597263,35597264,	27301688,27302108,27302727,27303703,27304168,	0.0071,2.8e-05,0.00067,0.0021,0.0016,	0.79,1.8,1.6,0.82,1,	inter-alpha-trypsin inhibitor heavy chain-related low similarity to Inter-alpha-inhibitor H4 heavy chain [Rattus norvegicus] GI:2292988; contains Pfam profile PF00092: von Willebrand factor type A domain
At1g76090		5	35599302,35599303,35599305,35599306,35599307,	28555901,28556298,28557815,28558417,28558800,	0.0046,0.0024,0.00018,6.4e-05,0.0031,	0.85,0.94,1.4,1.7,0.83,	S-adenosyl-methionine-sterol-C-methyltransferase identical to S-adenosyl-methionine-sterol-C-methyltransferase GI:2246456 from [Arabidopsis thaliana]
At1g76600		5	35599623,35599624,35599625,35599626,35599627,	28748793,28749355,28750747,28751580,28752094,	0.00062,0.0053,0.00097,0.0054,0.001,	1.2,0.76,0.89,0.9,0.9,	expressed protein 
At1g78090		5	35600622,35600624,35600625,35600627,35600628,	29371210,29372343,29373216,29374992,29375441,	2e-05,0.0066,0.0042,0.0043,0.001,	1.6,0.75,1,0.79,1.2,	trehalose-6-phosphate phosphatase (TPPB) identical to trehalose-6-phosphate phosphatase (AtTPPB) GI:2944180 [Arabidopsis thaliana]
At1g80440		5	35602071,35602072,35602073,35602077,35602078,	30242975,30243411,30243871,30247069,30247481,	0.0076,0.0087,0.0045,0.00078,0.00027,	0.68,0.76,0.89,1.4,1.5,	kelch repeat-containing F-box family protein similar to SP|Q9ER30 Kelch-related protein 1 (Sarcosin) {Rattus norvegicus}; contains Pfam profiles PF01344: Kelch motif, PF00646: F-box domain
At2g21310		5	35615824,35615825,35615829,35615830,35615831,	9127852,9128481,9130497,9131485,9132266,	0.0075,0.00055,0.0072,0.0014,0.00051,	0.88,1.1,0.69,0.97,0.97,	
At2g36080		5	35625225,35625226,35625227,35625229,35625230,	15158207,15159014,15159634,15160893,15161347,	0.0039,0.00033,4.2e-06,0.00061,0.0021,	0.85,1.1,2.5,1.1,0.83,	DNA-binding protein, putative strong similarity to DNA-binding proteins from [Arabidopsis thaliana] RAV1 GI:3868857, RAV2 GI:3868859; contains Pfam profile PF02362: B3 DNA binding domain
At2g39710		5	35627498,35627499,35627501,35627502,35627503,	16569338,16570088,16571533,16572163,16572573,	0.00086,0.00035,0.0052,0.0071,0.00078,	0.95,1.1,0.68,0.7,0.97,	aspartyl protease family protein contains  profile Pfam PF00026: Eukaryotic aspartyl protease; contains Prosite PS00141: Eukaryotic and viral aspartyl proteases active site.;
At2g39800		5	35627564,35627565,35627570,35627571,35627572,	16609968,16610444,16613853,16614747,16615160,	0.00019,4.1e-05,0.00041,0.0001,0.0019,	1.3,2,1,1.5,0.93,	delta 1-pyrroline-5-carboxylate synthetase A / P5CS A (P5CS1) identical to SP:P54887:P5C1_ARATH
At2g39980		5	35627705,35627706,35627710,35627717,35627718,	16696307,16696710,16699437,16703794,16704544,	0.0022,0.0094,2.7e-05,0.0036,0.0076,	1.2,0.65,1.6,1.4,0.85,	transferase family protein contains Pfam profile PF02458 transferase family
At2g44500		5	35630481,35630482,35630483,35630484,35630486,	18376489,18376890,18377696,18378287,18379778,	0.0087,0.0075,0.001,0.0019,0.0003,	0.65,0.76,0.96,0.94,1.6,	expressed protein contains Pfam PF03138: Plant protein family. The function of this family of plant proteins is unknown; previously annotated as 'axi 1 protein from Nicotiana tabacum -related'  based on similarity to axi 1 protein (GB:X80301) (GI:559920) from [Nicotiana tabacum], which, due to scienitific fraud was retracted. Retraction in: Schell J. EMBO J 1999 May 17;18(10):2908. PMID:10400497.
At3g03620		5	35634113,35634114,35634116,35634117,35634118,	875395,875828,877461,877965,878357,	0.0011,0.0015,3.4e-05,0.00057,0.0025,	1.1,0.95,1.8,1.1,0.8,	MATE efflux family protein similar to ripening regulated protein DDTFR18 [Lycopersicon esculentum] GI:12231296
At3g15354		5	35641211,35641212,35641213,35641214,35641215,	5172179,5172574,5173131,5173527,5174304,	0.0036,0.00044,7.9e-06,8.7e-06,0.00072,	0.71,1.2,2.9,2.5,1.1,	WD-40 repeat family protein / phytochrome A-related contains 7 WD-40 repeats (PF00400); phytochrome A supressor spa1 (GI:4809171) [Arabidopsis thaliana]
At3g22440		5	35645701,35645702,35645703,35645704,35645705,	7958829,7959224,7959639,7960035,7960461,	9.1e-05,1.3e-05,1.5e-05,6.6e-06,0.0012,	1.2,1.8,2.3,2.5,1.3,	hydroxyproline-rich glycoprotein family protein identical to hydroxyproline-rich glycoprotein [Arabidopsis thaliana] gi|9293881|dbj|BAB01784
At3g53260		5	35663335,35663336,35663337,35663340,35663341,	19757475,19757986,19759230,19760807,19761316,	0.0094,0.00037,0.0085,0.0052,0.00068,	0.71,1.5,0.78,0.78,0.97,	phenylalanine ammonia-lyase 2 (PAL2) nearly identical to SP|P45724
At3g53420		5	35663428,35663429,35663430,35663431,35663432,	19817127,19817544,19818065,19818449,19819262,	0.0022,0.0039,1.1e-05,4.8e-05,0.00072,	0.78,0.75,1.9,1.9,0.92,	plasma membrane intrinsic protein 2A (PIP2A) / aquaporin PIP2.1 (PIP2.1) identical to plasma membrane intrinsic protein 2A SP: P43286 from [Arabidopsis thaliana]
At3g60965		5	35667873,35667888,35667890,35667892,35667895,	22553505,22560190,22561225,22562307,22563575,	0.0024,0.0025,0.00042,0.0064,0.0088,	0.89,0.93,1,0.79,0.64,	
At4g04020		5	35672369,35549403,35672370,35549404,35672371,	1931681,1931748,1932086,1932217,1932474,	0.0016,0.00056,7.6e-05,5.5e-05,0.0046,	0.92,0.98,1.7,1.4,0.76,	plastid-lipid associated protein PAP, putative / fibrillin, putative strong similarity to plastid-lipid associated proteins PAP1 GI:14248554, PAP2 GI:14248556 from [Brassica rapa], fibrillin [Brassica napus] GI:4139097; contains Pfam profile PF04755: PAP_fibrillin
At4g04610		5	35672907,35549978,35549981,35672911,35549983,	2320877,2320878,2322959,2323136,2324847,	0.0013,0.00027,0.0046,0.0025,0.0049,	0.84,1,0.69,0.77,0.92,	5'-adenylylsulfate reductase (APR1) / PAPS reductase homolog (PRH19) identical to 5'-adenylylsulfate reductase [Arabidopsis thaliana] GI:2738756; identical to cDNA PAPS reductase homolog (PRH19) GI:1710111
At4g04840		5	35550170,35673078,35550171,35673079,35673081,	2447731,2447995,2448180,2448467,2450335,	0.00075,0.00014,0.0015,0.00078,0.0039,	1.1,1.4,1.1,1.1,0.72,	methionine sulfoxide reductase domain-containing protein / SeIR domain-containing protein low similarity to pilin-like transcription factor [Homo sapiens] GI:5059062; contains Pfam profile PF01641: SelR domain
At4g04970		5	35550301,35673198,35550302,35673200,35550303,	2536291,2536525,2536732,2537393,2537625,	0.004,4.1e-05,0.0028,0.00028,0.0003,	0.73,1.5,0.98,1.5,1.3,	callose synthase, putative / 1,3-beta-glucan synthase, putative similar to callose synthase 1 catalytic subunit GI:13649388 from [Arabidopsis thaliana]
At4g05470		5	35550644,35673509,35550645,35673512,35550648,	2765078,2765387,2765653,2767702,2767968,	0.0011,1.6e-05,0.00059,0.0021,0.0036,	1,1.7,1.2,0.95,1.3,	F-box family protein (FBL21) contains similarity to N7 protein GI:3273101 from [Medicago truncatula]
At4g06604		5	35552183,35552185,35667834,35552187,35552192,	3686146,3687109,3688005,3688366,3690774,	0.0051,0.00019,0.00048,0.0089,0.0065,	0.75,1.3,0.97,0.76,0.69,	
At4g07938		5	35674949,35674951,35674954,35674955,35674956,	4763783,4764993,4766882,4767277,4768155,	0.0059,0.00066,0.0013,0.005,0.00036,	0.65,1.3,0.97,0.74,0.99,	
At4g18890		5	35683296,35683297,35683298,35683299,35683301,	10352079,10352931,10353430,10353850,10354996,	4.2e-05,0.0087,0.0003,0.0093,0.0061,	1.5,0.68,1,0.76,0.74,	brassinosteroid signalling positive regulator-related contains similarity to BZR1 protein [Arabidopsis thaliana] gi|20270971|gb|AAM18490
At4g35560		5	35693651,35693652,35693653,35693654,35693655,	16879597,16880306,16880719,16881428,16881849,	8.7e-05,7.3e-06,3.5e-06,0.0011,0.0038,	1.4,2.7,2.3,0.86,0.73,	expressed protein  
